Id;ProductName;CategoryId;CategoryName;AveragePrice
5734;Pasztety 156;2;Artykuły spożywcze;0.89
5735;Kefir 101;17;Spożywka świeża;2.18
5736;Mięso mielone tacka 9;17;Spożywka świeża;4.29
5737;Gin 29;1;Alkohol;27.06
5738;Cukierki, praliny 45;15;Słodycze;7.92
5739;Lód 21;4;Mrożonki;1.03
5740;Hot-dog 90;6;Żabka Cafe;4.58
5741;Dania gotowe instant 86;2;Artykuły spożywcze;4.90
5742;Sałatki makaronowo-ryżowe 9;3;Szybkie przekąski;7.12
5743;Mąki, skrobia ziemniaczana 153;2;Artykuły spożywcze;3.19
5745;Pasztety 147;2;Artykuły spożywcze;3.90
5746;Whisky do 0,75 L 12;1;Alkohol;86.03
5747;Szynka, polędwica, schab luz 204;17;Spożywka świeża;6.16
5748;Soki i nektary do 0,5 L 226;11;Napoje;2.19
5749;Chusteczki dla dzieci 41;5;Niespożywcze;2.99
5750;Napoje witaminowe 34;11;Napoje;1.92
5751;Mięso wieprzowe luz 1;17;Spożywka świeża;6.95
5752;Lody rożki 20;21;Lody;3.49
5753;Piwo mocne puszka 41;13;Piwo;10.25
5755;Przekąski mięsne 1;17;Spożywka świeża;5.04
5756;Gumy rozpuszczalne, balonowe 72;15;Słodycze;0.46
5757;Śledź, przetwory 190;17;Spożywka świeża;7.99
5758;Herbata z kawomatu 15;6;Żabka Cafe;1.98
5759;Chleb gatunkowy 450;12;Pieczywo;4.44
5760;Kawa rozpuszczalna do 100 g 37;2;Artykuły spożywcze;10.16
5761;Wódki gatunkowe mainstream do 0,2 L 90;1;Alkohol;11.21
5762;Ciastka nieczekoladowe 288;15;Słodycze;4.85
5763;Konserwy mięsne 44;2;Artykuły spożywcze;4.39
5765;Książki dla dzieci, kolorowanki 140;5;Niespożywcze;12.32
5766;Boże Narodzenie 69;5;Niespożywcze;0.99
5767;Niespożywcze REG 55;5;Niespożywcze;3.09
5768;Gumy rozpuszczalne, balonowe 87;15;Słodycze;0.99
5769;Dżemy, konfitury 115;2;Artykuły spożywcze;3.12
5770;Krokiety 26;10;Dania gotowe;4.99
5771;Chleb zwykły 25;12;Pieczywo;1.54
5772;Artykuły do jadalni 16;5;Niespożywcze;2.24
5774;Wódki gatunkowe mainstream do 0,5 L 130;1;Alkohol;22.43
5775;Ciasta świeże CL 11;6;Żabka Cafe;15.00
5776;Piwo specjalne butelka 156;13;Piwo;3.01
5777;Dania gotowe REG 19;10;Dania gotowe;3.99
5778;Żabka Cafe, Freshcafe REG 100;6;Żabka Cafe;6.11
5779;Woda gazowana powyżej 1 L 26;11;Napoje;1.58
5780;Ciasta pakowane 28;12;Pieczywo;3.49
5781;Napoje izotoniczne powyżej 0,5 L 40;11;Napoje;2.21
