Id;ProductName;CategoryId;CategoryName;AveragePrice
6119;Szynka, polędwica, schab luz 17;17;Spożywka świeża;30.00
6120;Pozostałe wina 276;20;Wino;8.29
6121;Zupy chińskie 197;2;Artykuły spożywcze;2.44
6122;Kiełbasy świeże luz 111;17;Spożywka świeża;25.15
6123;Soki przecierowe do 0,5 L 58;11;Napoje;1.71
6124;Płatki 4;2;Artykuły spożywcze;3.64
6125;Jogurty smakowe duże powyżej 201 g 90;17;Spożywka świeża;3.97
6126;Majonezy 28;2;Artykuły spożywcze;3.99
6127;Kremy do rąk 4;5;Niespożywcze;3.57
6128;Pozostałe wędliny luz 173;17;Spożywka świeża;4.54
6129;Wermut 56;20;Wino;14.38
6133;Jogurty pitne 82;17;Spożywka świeża;2.36
6134;Sałatki rybne 7;2;Artykuły spożywcze;3.97
6135;Lody rożki 19;21;Lody;2.49
6136;Plastry 236;17;Spożywka świeża;4.49
6137;Przetwory owocowe do ciast i deserów 7;2;Artykuły spożywcze;5.24
6138;Budynie 25;2;Artykuły spożywcze;1.65
6140;Chipsy duże powyżej 101g 81;16;Słone przekąski;4.88
6141;Znicze, wkłady 244;5;Niespożywcze;3.78
6142;Czekolady małe 194;15;Słodycze;3.38
6143;Kabanosy 118;17;Spożywka świeża;4.97
6144;Rajstopy, podkolanówki 289;5;Niespożywcze;3.29
